amount,merchant_M1823072687,category_sportsandtoys,category_health,merchant_M980657600,merchant_M85975013,age,category_food,merchant_M1198415165,merchant_M732195782,merchant_M349281107,gender,merchant_M1600850729,merchant_M1888755466,category_otherservices,merchant_M2122776122,merchant_M17379832,merchant_M209847108,merchant_M840466850,merchant_M2011752106,merchant_M1313686961,merchant_M1748431652,category_tech,merchant_M923029380,merchant_M78078399,merchant_M857378720,merchant_M1352454843,merchant_M1353266412,merchant_M1416436880,merchant_M348875670,merchant_M495352832,ID
0.0031236043644021737,0,0,0,0,0,2.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005600223170726916,1,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.006699050869566925,0,0,0,0,0,4.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0.002610206917506722,0,0,0,0,0,4.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0.0028158278337378083,1,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0.0031288431138602906,0,0,0,0,1,1.0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
0.0021963457103154906,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0.0014851854713761278,1,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0.0017104516980751526,0,0,0,0,1,4.0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0.00248054786841833,0,0,0,0,0,3.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0.0021753907124830232,0,0,0,0,0,5.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0.00517719415198398,1,0,0,0,0,2.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
0.0027647500265211692,0,0,0,0,0,2.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
0.007725845763357829,0,0,0,0,0,2.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0.004572118589571483,1,0,0,0,0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
0.002560438797654612,0,0,0,0,0,2.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0.0037404671130954327,1,0,0,0,0,3.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
0.009297470600792885,1,0,0,0,0,5.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
0.0024307797485662195,1,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
0.001658064203493984,0,0,0,0,0,4.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
0.008266746644908394,0,0,0,0,0,2.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
